Airline,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Journey_Day,Journey_Month,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute
3,0,5,18,2h 50m,0.0,8,3897,24,3,22,20,1,10
1,3,0,84,7h 25m,2.0,8,7662,1,5,5,50,13,15
4,2,1,118,19h,2.0,8,13882,9,6,9,25,4,25
3,3,0,91,5h 25m,1.0,8,6218,12,5,18,5,23,30
3,0,5,29,4h 45m,1.0,8,13302,1,3,16,50,21,35
8,3,0,64,2h 25m,0.0,8,3873,24,6,9,0,11,25
4,0,5,5,15h 30m,1.0,5,11087,12,3,18,55,10,25
4,0,5,5,21h 5m,1.0,8,22270,1,3,8,0,5,5
4,0,5,5,25h 30m,1.0,5,11087,12,3,8,55,10,25
6,2,1,104,7h 50m,1.0,8,8625,27,5,11,25,19,15
1,2,1,103,13h 15m,1.0,8,8907,1,6,9,45,23,0
3,3,0,64,2h 35m,0.0,8,4174,18,4,20,20,22,55
1,1,4,127,2h 15m,0.0,8,4667,24,6,11,40,13,55
4,3,0,66,12h 10m,1.0,5,9663,9,5,21,10,9,20
3,3,0,64,2h 35m,0.0,8,4804,24,4,17,15,19,50
1,2,1,97,26h 35m,2.0,8,14011,3,3,16,40,19,15
8,2,1,123,4h 30m,1.0,8,5830,15,4,8,45,13,15
4,2,1,104,22h 35m,1.0,5,10262,12,6,14,0,12,35
1,2,1,105,23h,2.0,8,13381,12,6,20,15,19,15
4,2,1,104,20h 35m,1.0,5,12898,27,5,16,0,12,35
2,2,1,104,5h 10m,1.0,8,19495,6,3,14,10,19,20
1,0,5,17,15h 20m,1.0,8,6955,21,3,22,0,13,20
3,0,2,18,2h 50m,0.0,8,3943,3,4,4,0,6,50
3,0,2,18,2h 55m,0.0,8,4823,1,5,18,55,21,50
4,3,0,66,13h 20m,1.0,5,7757,6,5,18,55,8,15
4,2,1,113,15h 10m,2.0,8,13292,9,6,21,25,12,35
3,2,1,119,5h 45m,1.0,8,8238,1,6,21,50,3,35
2,2,1,104,5h 55m,1.0,8,7682,15,5,7,0,12,55
10,0,2,18,2h 50m,0.0,8,4668,18,6,9,45,12,35
10,1,4,127,2h 15m,0.0,8,3687,15,6,7,5,9,20
10,1,4,127,2h 15m,0.0,8,3687,18,6,7,5,9,20
1,3,0,78,13h 25m,2.0,8,13227,1,5,9,50,23,15
3,0,2,18,2h 50m,0.0,8,4423,6,4,4,0,6,50
4,2,1,122,22h,2.0,5,10919,15,6,14,35,12,35
4,2,1,104,5h 30m,1.0,5,12373,18,5,7,5,12,35
3,2,1,104,10h 25m,1.0,8,5894,27,6,10,35,21,0
8,3,0,90,5h 15m,1.0,8,4649,21,5,15,5,20,20
1,3,0,64,2h 30m,0.0,8,6245,18,5,14,15,16,45
4,0,5,5,6h 15m,1.0,8,19225,6,3,7,0,13,15
4,2,1,104,11h 55m,1.0,8,14924,3,6,7,5,19,0
6,2,1,111,11h 5m,1.0,8,9646,21,5,7,5,18,10
1,0,5,5,8h 30m,1.0,8,8714,15,3,6,45,15,15
4,2,1,104,22h 5m,1.0,5,12373,18,5,20,55,19,0
0,0,2,18,2h 45m,0.0,8,3383,6,5,11,10,13,55
6,2,1,104,12h,1.0,8,13062,21,3,9,0,21,0
8,0,5,18,2h 50m,0.0,7,3527,24,3,5,45,8,35
3,0,2,18,2h 50m,0.0,8,3943,27,5,4,0,6,50
1,1,4,127,2h 15m,0.0,8,4667,3,5,11,40,13,55
1,3,0,80,16h 5m,1.0,8,6117,15,5,19,0,11,5
4,2,1,97,19h 55m,2.0,5,11150,27,6,23,5,19,0
4,2,1,106,3h 15m,0.0,5,7202,9,3,11,0,14,15
4,3,0,73,25h 20m,1.0,8,12121,1,5,9,35,10,55
3,0,5,18,2h 50m,0.0,8,4377,24,3,22,20,1,10
3,0,2,18,3h,0.0,8,3943,18,6,21,15,0,15
0,0,2,18,2h 50m,0.0,8,4483,3,4,23,55,2,45
4,3,0,66,16h 15m,1.0,8,14231,24,3,19,45,12,0
1,0,5,3,15h 5m,2.0,8,17345,1,3,8,50,23,55
10,1,4,127,2h 15m,0.0,8,7414,6,3,7,5,9,20
6,2,1,104,6h 30m,1.0,8,8073,6,5,19,0,1,30
10,4,3,45,25h 5m,1.0,8,12395,6,3,15,40,16,45
1,3,0,66,12h 25m,1.0,8,8366,6,6,9,25,21,50
1,2,1,121,27h 20m,1.0,8,5117,3,4,6,5,9,25
6,2,1,104,10h 15m,1.0,8,12524,3,6,8,45,19,0
3,2,1,104,10h 30m,1.0,8,7191,15,5,15,0,1,30
10,1,4,127,2h 15m,0.0,8,3687,24,5,7,5,9,20
3,2,1,104,10h 25m,1.0,8,5894,24,6,10,35,21,0
10,0,2,18,2h 50m,0.0,8,5403,24,4,9,45,12,35
1,4,3,48,1h 30m,0.0,8,3625,6,5,13,55,15,25
1,2,1,102,13h 20m,2.0,8,10861,21,5,5,55,19,15
3,1,4,127,2h 15m,0.0,8,6297,12,3,13,20,15,35
4,4,3,48,1h 25m,0.0,8,5678,1,6,7,5,8,30
